,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Illinois,15.06592800174456,18.089413271700703,12.946321817497786,16.491040132398837,13.212156956864337,12.088672394549619,11.681838667483802,15.315248083662286,11.715795336852224,16.756726268942973,15.525344844174853,20.433227683047317,13.431958092680595,0.0,20.009177436647605,15.106600948395021,17.474324567437964,11.609426769858489,13.59047885664548,14.990850313571235,7.496021212036847,9.797576038509892,11.309099544968324,9.267658919060754,14.16867374269548,17.75811873170245,16.180804855783723,15.08591106664409,12.384990578396,10.060705621816634,11.801284879870968,9.3712388166386,16.091219753694403,12.507079475560706,13.236138693296768,22.337940673744473,12.075843980527848,13.062969264349682,10.18193692454797,12.666654744702905,15.407733912370352,13.88879790431974,13.029296414053928,16.124851244448294,11.923843649901645,11.974213168156583,17.856063622164406,15.874560952120682,11.687491377039041,11.917679075951575,18.05731959226916
Indiana,18.478694137433706,16.591322410842317,20.428134543364475,22.266711662951565,17.046109439990577,21.88146211774154,20.52888818812729,16.61656744525419,20.188471226046282,22.4630551307093,20.864205308821614,8.796916253401076,20.13310034955318,20.009177436647605,0.0,14.803103596570933,19.582687128755794,19.98352874042517,20.661166891608552,16.682256947239782,19.25552824908638,20.741787666999176,19.646179031004817,20.173220064039768,20.587422069680265,18.687787350358736,16.90298807366836,15.742941711653046,19.772155374941423,19.83941834993733,20.95831088795937,19.11955966002482,21.565017465096453,19.94104664530762,20.799386487380193,10.287096276648978,19.829132153602885,19.369140814978405,19.382300864047217,14.012921272259746,17.176452770223197,20.706560637183397,18.86065003485567,21.6121462455433,18.894967785179084,20.992950379371912,16.87181280683514,20.574275057798282,19.800552568592167,18.51308948130254,20.982035720516038
Iowa,13.156740283436848,13.111095736254896,13.692164788610146,18.096384917982302,12.49547959181545,13.606899040528436,19.22833070739737,15.182521629612793,20.563858688730317,18.32659331415247,16.919213263549263,14.15950259173104,12.234630912379265,15.106600948395021,14.803103596570933,0.0,12.900588148303116,13.687997919975425,18.900393805775618,12.872894796020484,17.116815995830898,20.818929227370052,14.806515652773312,12.569585322160199,15.029339619733603,13.909434397907654,10.882836052685482,11.87064226278065,13.147515763772075,14.22052879965957,22.398965939819355,12.977482967859507,24.67271797589479,13.347437902200591,12.742504478704944,15.789380132415594,13.824802400574855,11.620259725348898,16.15180810121338,13.929583218783419,13.486845988983234,12.052630631992951,11.657603983395672,15.849086460753647,12.42970848462088,15.150850317607398,17.218402205025,14.922030242386013,12.878996224813253,11.223984664937026,14.090574517747408
Kansas,13.833965393972768,12.354400920439963,14.531085620753986,18.320840278039547,15.352697604063806,16.29059940156279,20.67886127300603,16.966938465174877,22.508383447899796,18.565835497246184,15.840135758289145,17.463540142094544,12.899753951146682,17.474324567437964,19.582687128755794,12.900588148303116,0.0,15.095162097566964,19.987283402349806,13.915877092205443,20.220540306180318,22.831460309515034,14.732329279286711,14.69678344089462,14.984900597488968,11.072781756325234,13.234560462361685,14.710773574638255,14.27817026005021,15.233758077427247,24.619143445822406,15.34777639345636,26.197436227142557,14.212007459206829,12.432308933189129,19.745508775669453,14.232316118066317,12.390567074113566,18.423408439092512,17.90866055078373,14.509015629868706,12.600374560573968,14.574564511434204,17.473303847950046,13.121877260751695,15.58245117209419,16.998733182863603,15.986901188268979,13.740156390994992,13.537742127532773,8.817211065763674
Kentucky,11.159189272583482,15.734340546809637,11.120247516242252,14.968608809425913,9.24018923358566,13.62844383137543,14.627337786689047,14.390439577242798,14.415556325140432,12.602140860660512,12.636614236578456,18.04412927993322,11.841647303238842,11.609426769858489,19.98352874042517,13.687997919975425,15.095162097566964,0.0,14.490361532618417,12.680974593648932,11.41149402842896,15.252624034511244,13.157874918907883,11.540917063975291,11.63573341756386,14.968875649497802,13.573560708307049,15.64000706123414,9.768098554877712,11.385970796989865,18.837176499813868,8.91597421142101,21.612024430386818,8.907039395507933,14.514420880410796,20.800465828294378,8.325484488415068,10.863408793149931,12.878318849266208,14.348796919329686,11.912023636799667,12.731559638269513,9.42547998929095,11.334904229274695,10.762638019412712,13.050479494048064,12.895640247170528,14.365237919070513,9.111440441236619,10.987308079928335,16.465191164162107
Louisiana,16.779520723605284,19.074521490156027,14.780347215120196,19.447250744161924,16.7577285916884,16.501365199250603,13.092396939896815,14.837542095964602,11.882041580710528,14.19382897713296,15.121964782731398,20.443442878721463,16.030385841528606,13.59047885664548,20.661166891608552,18.900393805775618,19.987283402349806,14.490361532618417,0.0,17.56446418991468,11.984496415105083,12.398467524541312,14.21896316574093,15.114528764051924,13.112121026855986,19.148598617550306,19.39186345479148,18.281374774297735,14.607309870702405,13.372897141686002,13.604355842800777,15.579435922473676,15.731200422578084,15.286011663704638,18.761254652504302,20.896631273045163,14.210922709190594,15.735580852261899,13.829438834947082,15.352699987767783,14.341663056935559,18.726884790066244,16.95279018918301,16.905971574216654,15.645468222973097,14.10734191965001,17.402481953235448,16.101718612523673,16.042726756730165,17.273358971915545,19.758108666200854
Maine,12.337156204547705,12.086268011503059,14.097728115855604,18.282099152335103,13.260490643664555,15.801185378013392,17.773235992236984,13.557864627542223,18.594535254384812,19.202036647453628,14.588437451129797,16.855611319625318,13.337041477650468,14.990850313571235,16.682256947239782,12.872894796020484,13.915877092205443,12.680974593648932,17.56446418991468,0.0,16.189682724750103,19.23326913521531,14.029626123610397,14.054389423118213,14.978786191912727,12.809799863248951,12.736924912785772,15.54458337404509,14.452412730468016,13.103912188386582,20.461249027333572,13.51711644920746,22.15081224414074,13.902422056539807,16.08466515578245,18.22324218094066,12.247083879362195,12.080069623405743,15.912737246079418,15.583754353463108,12.883498846247848,13.620618034800072,13.269122754445704,16.817144548579922,13.241198179719452,13.949498816729996,15.096244821330405,14.815482812831277,12.530461318017617,13.604692292065836,13.247129715310596
Maryland,16.518881241753686,20.160793131310474,14.048756662424918,19.524441324099516,15.714061685277613,12.956633361695502,11.129605267085246,14.504298989085228,9.43706553699676,15.830401755989545,15.676358142341074,22.24006028953709,16.39332738134145,7.496021212036847,19.25552824908638,17.116815995830898,20.220540306180318,11.41149402842896,11.984496415105083,16.189682724750103,0.0,7.972516569765412,10.795017318608194,11.083615989891662,13.774401041041418,18.648670676345322,19.389459244746785,16.719957468471904,14.466697938583705,11.016495840484177,9.327348392781701,11.804152400344398,10.889480333745848,14.806948418054526,16.769371647679737,21.10168230413486,13.021689174314437,15.60662740548155,10.748682384815677,12.064846544464249,15.00662339353441,16.941876483500753,17.031644630033536,18.465009160026757,14.158582797382747,13.302896043321681,16.92634033034763,17.12334911399886,15.10049151601524,15.086550868888935,19.76768098264654
Massachusetts,20.89705470992046,22.603563763734552,18.037764504603633,22.73076890461782,19.72301636816961,15.238514122159662,9.852293788095864,15.601524245670985,8.566937494419816,18.785017746986178,18.07231223639142,24.04074967900683,20.22999859329232,9.797576038509892,20.741787666999176,20.818929227370052,22.831460309515034,15.252624034511244,12.398467524541312,19.23326913521531,7.972516569765412,0.0,12.977547399691243,15.691003910166254,17.273464276628456,21.23879348222575,23.15634785837723,19.713348993193165,18.967175461405162,13.132739300877123,7.471087431958855,16.58440755233096,8.8460866579749,18.93546328103193,20.477244231700784,23.081088362380648,16.878137694459483,18.85323295163625,11.596312510025223,13.274597790939415,18.591417144308693,21.327100239733795,20.886752172889494,22.506171759527316,18.29439856497543,14.330030576374877,18.647050547401175,17.512703951898036,19.49309471509745,19.49321922326509,22.56929232317713
Michigan,14.95156790711034,15.901092234834259,14.803921132258687,19.18929863106043,16.268044943672297,13.094483223135134,12.439876113946465,14.883058409915598,13.661149691175419,18.098388911662905,15.159133457910746,19.995962971604786,12.89951353891118,11.309099544968324,19.646179031004817,14.806515652773312,14.732329279286711,13.157874918907883,14.21896316574093,14.029626123610397,10.795017318608194,12.977547399691243,0.0,11.299401957961031,14.533754397291192,14.318913931328645,15.471726393179516,14.377234768419306,14.469688842933019,12.36472231936979,13.924609444747405,13.256098552091931,15.698479115652827,13.767131002947208,14.042674273422655,20.962658991467674,13.007538661768638,12.103102199270479,13.822221385588827,14.572698014931076,15.073538959649001,13.792976738644862,15.404358079291674,18.336301986571964,13.547750399894527,11.868255834360545,18.925062326738797,15.410501969477341,13.245930879676795,13.219329932425168,12.994484623606748
