,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Indiana,25.73471436785826,23.19210860635361,25.458760846297384,20.412898009227256,20.46948949045873,19.321665520792493,20.884437027022944,20.46948949045873,20.46948949045873,22.552375030498435,22.489801926513987,25.942385347197376,21.254563453685716,20.46948949045873,0.0,28.948229652260252,24.809119472758255,19.004939048064482,20.46948949045873,22.537877549812933,20.381643269683664,20.414893627672896,20.46948949045873,20.403158493930206,25.293077959407835,20.46948949045873,25.035744597333213,6.375458309754839,20.46948949045873,24.705623258068268,14.494790647778872,16.4427260890471,20.46948949045873,20.46948949045873,24.138642356203476,21.24989914207313,22.9189322776591,23.844491475561064,28.948229652260252,18.613995492412936,22.694612574317997,20.939814817999224,21.450701259748808,20.46948949045873,21.11040683918654,28.94822965226025,21.103783122200024,6.550424065749599,20.46948949045873,21.452673284161094,24.30704522073153
Iowa,28.390553900447863,28.39824981145312,28.88788606183922,27.498800595494643,20.469489490458724,28.15195245979517,28.175202534485276,20.469489490458724,20.469489490458724,27.63801330526897,27.56507680058155,28.351753338370326,28.13600868651528,20.469489490458724,28.948229652260252,0.0,28.35956004744648,27.45876662962016,20.469489490458724,27.279221651400892,28.113962525643462,26.888101587382337,20.469489490458724,28.65236488963074,26.236244861244707,20.469489490458724,28.807704760427562,28.948229652260263,20.469489490458724,27.490873440622806,28.94822965226027,27.782700438923904,20.469489490458724,20.469489490458724,28.661396079198138,28.370542014154776,28.550626460124093,28.020610232650274,2.450190903422914,24.017591441612367,27.911409196367643,28.543528323438906,27.927370136290957,20.469489490458724,27.86140289816537,6.888130369696924,27.737649036505665,28.94822965226028,20.469489490458724,27.796964381623226,28.11259423565967
Kansas,18.43174320742006,14.23812153153375,21.857294682502236,15.19241805304168,20.469489490458702,16.183382720058788,28.094530081173488,20.469489490458702,20.469489490458702,18.107884577873524,16.817010898851763,19.971917589060823,14.718895526133679,20.469489490458702,24.809119472758255,28.35956004744648,0.0,16.511981308664307,20.469489490458702,17.066858934035782,18.27851853168938,18.348311319407305,20.469489490458702,16.758128573135597,15.488983898745396,20.469489490458702,19.889974074207384,24.385325141822594,20.469489490458702,22.344236416868526,25.60404480015753,16.93612049918999,20.469489490458702,20.469489490458702,18.031733381254654,16.092448376666397,13.50355718431025,13.803540360042728,28.425497458309998,17.54155200424842,19.58511964038652,16.21540213357615,16.225178055105598,20.469489490458702,16.25794127515084,28.413677448166563,16.8459554701547,24.264030867118883,20.469489490458702,16.19634996354152,17.660892011108864
Kentucky,16.138179960736835,14.348103071902154,17.569026794593373,13.281068321688725,20.46948949045871,14.929198456743977,25.601406773435343,20.46948949045871,20.46948949045871,19.089307010663113,15.987208977628145,18.744404233885646,14.071644528670149,20.46948949045871,19.004939048064482,27.45876662962016,16.511981308664307,0.0,20.46948949045871,13.425324234208164,15.346357047505347,18.386066283735335,20.46948949045871,15.440057695303706,17.54661401325005,20.46948949045871,18.38606475584139,23.46591380026623,20.46948949045871,16.604519293623973,23.639333842255827,13.848273018854307,20.46948949045871,20.46948949045871,17.97170144719506,14.68278041212906,14.455148141671335,14.211120739272861,27.202680194069103,14.510546819352816,17.893260399800557,15.560608698716564,15.137713039124417,20.46948949045871,14.406997121915355,26.399945982371086,14.86249850296462,23.496529081542427,20.46948949045871,13.358949639053703,17.611462886476897
Louisiana,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
Maine,19.729267327907813,14.082027018077607,21.37299210188457,14.236072538568248,20.46948949045874,15.020660124509481,27.723311554020874,20.46948949045874,20.46948949045874,18.609408794579657,15.278843888015347,19.660779586514284,12.593938767028217,20.46948949045874,22.537877549812933,27.279221651400892,17.066858934035782,13.425324234208164,20.46948949045874,0.0,12.356770448795901,15.795415483204174,20.46948949045874,13.157029099955821,17.965742089307415,20.46948949045874,19.59563743788345,22.608156755860097,20.46948949045874,20.520754835485064,24.082380916717604,11.414836453509027,20.46948949045874,20.46948949045874,16.719164613381903,12.69161155808685,14.216397057532554,14.801148145024172,27.030495342126194,12.242511748432236,18.70131509833629,13.898703153133932,16.132655012181374,20.46948949045874,12.283007989040433,26.24990592573882,13.131754531422349,22.487701963691023,20.46948949045874,10.351924251232825,17.202919600987894
Maryland,20.63667200931825,15.858723785972273,20.886048972907233,13.811604199872948,20.469489490458724,14.381995067949052,26.41006045638622,20.469489490458724,20.469489490458724,13.8765014782166,12.772812504472174,18.500644433088837,12.502557888035579,20.469489490458724,20.381643269683664,28.113962525643462,18.27851853168938,15.346357047505347,20.469489490458724,12.356770448795901,0.0,17.61813188280863,20.469489490458724,10.750620721932384,20.23610205648154,20.469489490458724,21.577035151527646,22.339751298583153,20.469489490458724,18.554746052241367,24.08431037310751,10.81725437982661,20.469489490458724,20.469489490458724,16.898456917762207,11.070999868836216,15.287854356828074,15.088012751136457,28.06033334056642,15.27627252797905,18.21936148706653,12.944483765635976,13.020100597582193,20.469489490458724,11.578866187481996,27.959850653781473,9.605121541197299,22.339873227569257,20.469489490458724,12.571563755266677,17.66482179442049
Massachusetts,22.23029628036871,18.345353416816813,25.24994044269061,18.246518538030617,20.469489490458734,15.594293257010989,24.063299927766785,20.469489490458734,20.469489490458734,22.778933705527095,20.204761095528593,20.225443306702022,19.361251683712574,20.469489490458734,20.414893627672896,26.888101587382337,18.348311319407305,18.386066283735335,20.469489490458734,15.795415483204174,17.61813188280863,0.0,20.469489490458734,18.545604980718757,15.268060548126648,20.469489490458734,24.071707847025326,25.305675569948185,20.469489490458734,20.95702062508361,25.093685610541232,18.91396490937746,20.469489490458734,20.469489490458734,20.775719692082873,19.379922452879896,20.055562222381056,17.429144486312854,26.73275347398004,14.541924946404075,22.523845458059114,20.13320895964597,20.34671089002564,20.469489490458734,19.753551083852944,25.392896220688087,17.571728441794708,24.59057543025494,20.469489490458734,19.387237588935577,19.381511612012247
Michigan,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
Minnesota,19.111264597276158,11.374907494172119,19.79680927084734,13.81551866444468,20.46948949045872,14.185780528638361,28.297102762764286,20.46948949045872,20.46948949045872,17.9602396851146,15.897612064032861,18.876461661015952,8.777420767368945,20.46948949045872,20.403158493930206,28.65236488963074,16.758128573135597,15.440057695303706,20.46948949045872,13.157029099955821,10.750620721932384,18.545604980718757,20.46948949045872,0.0,19.260416736384194,20.46948949045872,16.70352164574752,20.633883431089327,20.46948949045872,20.012460755730313,25.54245879226312,11.037589324717878,20.46948949045872,20.46948949045872,14.021459899860037,7.619285696391049,11.686469579204621,13.440148846400515,28.660197305480505,16.46697274187975,20.4770053437907,6.893749381851304,13.71632462894475,20.46948949045872,7.700927271995996,28.673645550657245,11.563789664877781,21.545122754229805,20.46948949045872,8.544079313947096,16.448583725220537
