state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Florida,0.6938389052028394,1.1594926741844258,0.6096426197219639,0.8413218978253966,0.8819871613808339,0.9114167987076709,0.9785898620756871,1.2319470641132673,1.5203669391221808,0.0,0.7058273616509518,1.3787738817768591,0.9497754819050862,0.7253244651033122,0.7046827461452718,1.2337677110671268,0.8727488868451903,0.9182087858471435,0.6065514204764293,1.247922521794154,1.0199236469751316,0.8474783669302408,0.8760666294962466,1.1350886773945479,1.1910665460244965,0.8116237822398937,1.5028700106962989,1.2856667130181931,0.7837556238178546,1.4403234939702363,0.807800518579232,0.8401915621975511,0.8189406106414225,0.8267890339374492,1.7023831443275053,0.7966651801112098,0.73157981216752,0.9655470687338416,0.8601255617490837,1.1883309748418194,0.5085156348391889,1.6938343940485456,0.5318096412554446,1.5603002596922786,1.08622171943556,1.6429473259677836,0.8718896779598948,1.1106409936646655,1.0459694372098463,1.1642310323379514,1.634497695782382
Georgia,0.771150473187473,0.799121348897599,0.7037533309227636,0.7879328552418668,0.9863278521332699,0.7693681335780366,0.7512510426596068,0.9734761040018023,1.6862587798067656,0.7058273616509518,0.0,1.022811537902593,0.7236748233578802,0.5183755680967562,0.44149733051193446,0.8637306328343006,0.7438990128792364,0.8330082159780171,0.6944713226986566,0.9183377307018596,0.6815016923886069,0.7943300617388862,0.7301883047660127,0.7456499023003755,1.0427246052280335,0.4639465050380515,1.106949103597908,0.7994537931224557,1.15751639655684,1.1772547133479139,0.6110645444716393,0.8600724126718645,0.711965074779199,0.46158131731103774,1.3053836974281583,0.6374790049549955,0.5463191095280001,0.7419240673024898,0.6817853052923425,0.9819814826044801,0.5269572941766523,1.2714269154554412,0.5368487859317085,1.4451354152944036,0.9052303199865116,1.34204801384603,0.5759208658699008,0.8584559782185417,1.0432862173145854,0.8091869331306787,1.427876011038782
Hawaii,1.4102125192570194,0.6219823429609955,1.363311897834217,1.3421680446442257,1.39438608814635,0.879394785174786,0.9066096694399243,0.4903832763644859,2.118179811871588,1.3787738817768591,1.022811537902593,0.0,1.1776935236961423,1.0779707620451986,1.0714990495105414,1.0251185509577372,1.3711218494516308,1.3176335361541673,1.3720257199477983,1.2154739167854713,0.8515248324973987,1.1840790974268185,1.076528111378961,0.8576933937365533,1.6760305769656152,0.9725509374623038,1.546497212447316,0.9759992609955194,1.7413263500591387,1.5564367917873694,1.0802071797806931,1.437211684478066,1.1889546942975047,0.8540583412384569,1.6517084525838497,1.1361826160994088,1.2846762076293516,0.9170715456982684,0.961327001764507,1.362039100859072,1.1158632752616846,1.5285891301828183,1.1598983956150863,1.9681292337149339,0.6196242463961479,1.503846384252868,1.0152716791685839,0.49415286704177114,1.3908849365096336,1.149032629324535,1.5878160104590509
Idaho,0.8649260122904375,0.8905196383189442,0.7994240475449857,0.8196781031131168,1.2705282751174747,0.48322025643836225,0.697202901711871,1.0183712884470582,1.773472909662623,0.9497754819050862,0.7236748233578802,1.1776935236961423,0.0,0.642429058034198,0.4580149623189255,0.6597165307853168,0.6971844524039532,0.7340335435375348,0.8901379664839335,0.5485685468379605,0.6544292156803062,0.5830874721236039,0.6021116028340242,0.6131236407992469,1.2400099096234738,0.6158348790533763,0.9235363379916456,0.9704874584532709,1.1041016311557408,0.709302660588521,0.6508943151744484,0.7396509035413894,0.8502529436860484,0.661529986508451,1.289989301675554,0.6319671497304845,0.8404637230553766,0.5574576435563433,0.7471243934656688,0.9411811228893057,0.6791473123511869,1.4847689748507324,0.6595344737663342,1.419905868218798,0.8572251748367176,0.8719425759272835,0.5673933680657909,0.8807795360465054,0.9471318328689583,0.5471099214641788,1.2240562604115726
Illinois,0.9599882295937805,0.967803029394693,0.6536417796790642,0.8273717083878964,1.038211681609486,0.6683455403558373,0.4430699684328746,0.8475579887618593,1.513046375731248,0.7253244651033122,0.5183755680967562,1.0779707620451986,0.642429058034198,0.0,0.3905756955022128,0.8155181730554739,0.8592492355848714,0.7165258427519753,0.8209735214680126,0.7345370755575378,0.5267991397215246,0.5175418895979526,0.5201829101502643,0.597776610443435,1.330575431806892,0.49555127479587346,1.0851105794851765,0.8651368388130458,1.113239302256768,1.0680785053152562,0.450898441971918,0.9582646889453192,0.4541037851353332,0.5806779902963034,1.2539741671717413,0.24909272100834887,0.8427190482266699,0.5955710950658684,0.48299314714297464,0.987771134908131,0.66440087290636,1.347439471327998,0.6373694922242207,1.6328680665818545,0.9733107278271554,1.2008310898144614,0.6684496138444427,0.8582127019686874,0.908653947558878,0.7135555705762723,1.5270219806412955
Indiana,0.7008483941972463,0.8145948414199298,0.6534897472596641,0.5531603839387286,1.0677223186122855,0.5342832966399789,0.5851656250475712,0.8774324195871245,1.5476053303233201,0.7046827461452718,0.44149733051193446,1.0714990495105414,0.4580149623189255,0.3905756955022128,0.0,0.6151040636947677,0.5908993686174152,0.504616484655956,0.5757382029802494,0.6059862571581945,0.5595664218339255,0.5012735067847405,0.4008854673099831,0.5259337271998108,1.0275841103164418,0.26904098699305395,0.9154699392714222,0.7499956214370167,1.0803679812964408,0.9253919060601222,0.4285414898736318,0.7345562401363921,0.5662448633337359,0.48157276742319133,1.1448724397543952,0.35916215656044226,0.6450657462139424,0.5591089931215685,0.4438366716862868,0.8272377633157958,0.479151890586912,1.245844719453527,0.3850197382130973,1.4623621800943032,0.8469007014708799,1.0537868643367085,0.5133466689527386,0.8110444789381009,0.7118299649284473,0.5831090163850577,1.2715680912912886
Iowa,1.0394908434915968,0.7900378399856689,1.2234461620173709,0.8928986703385098,1.3890815584558713,0.6926717281548388,0.8578887104121359,0.9248111975562574,1.875881758817437,1.2337677110671268,0.8637306328343006,1.0251185509577372,0.6597165307853168,0.8155181730554739,0.6151040636947677,0.0,0.7881880955697602,0.7473354815163255,1.0406839513724686,0.4865155605608987,0.7686881337942023,0.8672234894029558,0.6689349195668023,0.3977035490670132,1.1570127235719774,0.5332992818271453,0.7057934769319332,0.5512865020954901,1.5829613720350697,0.869197656929336,0.8311591464754295,1.1452519562602255,0.8861718428407969,0.7361756670776188,0.9404030526886993,0.7034206721572609,1.0271563273341175,0.7984988761178136,0.67489687343556,1.0977626803696492,0.9662611163436824,1.0755549576264836,0.8435202673379358,1.4625761321891684,0.9058688819362261,0.7757154184739284,0.7554721924037279,0.8521909973907665,0.8561812460338335,0.6138015788513663,0.935285162297795
Kansas,0.48783311246292876,1.0076515390008218,1.0200860719738818,0.7969631276552459,1.430718581028253,0.8881468302945386,1.0967016752959249,1.3151585610613556,1.6381418190576664,0.8727488868451903,0.7438990128792364,1.3711218494516308,0.6971844524039532,0.8592492355848714,0.5908993686174152,0.7881880955697602,0.0,0.8141434134316429,0.6723342645941199,0.9419064927940306,1.0597584467592251,0.9198227499282795,0.9246607940450966,0.9289579240578176,0.8019622494373378,0.5763867610591613,0.974902977703749,0.8639429408791064,1.0708447356985116,1.0535043939773547,0.8965917234737891,0.9768057257564711,1.0597992889923584,0.9053310364132647,1.199330417389416,0.8405393806184149,0.5774442477226446,1.0645920369399455,0.9238413110416015,1.2264717602942927,0.6738680123948477,1.2290874403972902,0.5107054004340608,1.3304713844630638,1.0438225618272414,1.3115207790695327,0.7241666697203731,1.2039829024956776,0.9073356131193108,0.9653471053447348,1.033696830802625
Kentucky,0.8447946414881743,0.9716823646997954,0.8437208350592957,0.3020975088601212,1.28070510501595,0.8404826737324503,0.8093099640374334,1.0322777904436542,1.4851597603299123,0.9182087858471435,0.8330082159780171,1.3176335361541673,0.7340335435375348,0.7165258427519753,0.504616484655956,0.7473354815163255,0.8141434134316429,0.0,0.628786553601768,0.6973672710857468,0.9194057014010353,0.8086334361367091,0.5580565397794811,0.7895028753032642,0.9793236093835068,0.5550763601286696,0.9418081638638318,0.9133057122926382,1.184838735996542,1.148451451701205,0.8166757633276406,0.7526951961407188,0.7589763357507635,0.7518712065057732,1.1920525982671097,0.5269444488377295,0.8102513603018459,0.7594906392797259,0.6603937158941965,1.0388325778542404,0.707657951996659,1.269282171652736,0.5677243577146316,1.4890898051527466,1.1102984185811218,1.0234273696120166,0.9633104345251412,1.0254908713260644,0.3272891096339288,0.8635621226531502,1.2680924580914372
Louisiana,0.4338711970770816,1.065420788161075,0.6655192801647086,0.4569414905320374,1.1766898934322663,0.9268498092518315,0.9823021040481942,1.1963202886385278,1.4525816927074355,0.6065514204764293,0.6944713226986566,1.3720257199477983,0.8901379664839335,0.8209735214680126,0.5757382029802494,1.0406839513724686,0.6723342645941199,0.628786553601768,0.0,1.1012612693438613,1.029275421951035,0.8832674173940939,0.8109509162258448,1.0516145132482693,0.7618227234906024,0.6542261580728989,1.2902217150468391,1.0901022965434464,0.9350737992000384,1.3670654725804043,0.8266109525878521,0.6688188472870461,0.8615798513214671,0.7814372647906995,1.4767720468939787,0.779445778270451,0.5700077899887189,0.9375294680700625,0.8458762392672157,1.0183260838438095,0.4232282724645053,1.4540476520310708,0.37788201298430385,1.602599684115962,1.1179349798251594,1.490196910190179,0.9133292268882414,1.1246146650730833,0.7353456330862512,1.0880883515789848,1.3795959321186149
Maine,1.2000856023918378,0.9928933214411274,1.105970587012839,0.8736683240068998,1.4173753997746141,0.7026423771610596,0.7585897456025708,0.9831502117459501,1.802798456284489,1.247922521794154,0.9183377307018596,1.2154739167854713,0.5485685468379605,0.7345370755575378,0.6059862571581945,0.4865155605608987,0.9419064927940306,0.6973672710857468,1.1012612693438613,0.0,0.6745623064269829,0.6881995854897116,0.5357003356910124,0.4277815397489501,1.3680392376093442,0.6481360178640873,0.5984114876112075,0.8008982334014567,1.5111957497093447,0.6093789963220163,0.7120843691910416,1.0601836347089544,0.8511662893466682,0.8411152645074736,0.9116928613990807,0.6215110343934772,1.1183811042122047,0.7044926895771942,0.6449026180618602,0.940279429433832,1.0253257104304514,1.224311316801859,0.9109531753269802,1.5372952243122477,1.0618865092874223,0.5172560547690226,0.7657170807554466,0.9841253814588493,0.8469044600993444,0.3898746960841173,1.3123649208422492
