model,mitjana_MAE,mitjana_MSE,mitjana_R2,millor_MAE,millor_MSE,millor_R2,pitjor_MAE,pitjor_MSE,pitjor_R2
deathIncrease_cluster4,2.44629820585483,7.7487570903695,-2.6508567060394754,2.44629820585483,7.7487570903695,-2.6508567060394754,2.44629820585483,7.7487570903695,-2.6508567060394754
deathIncrease_cluster5,56.07719313554936,5947.148318885008,0.3428328282780181,56.07719313554936,5947.148318885008,0.3428328282780181,56.07719313554936,5947.148318885008,0.3428328282780181
deathIncrease_cluster6,4.110050500597281,18.18243862619791,-0.22718938386184195,4.110050500597281,18.18243862619791,-0.22718938386184195,4.110050500597281,18.18243862619791,-0.22718938386184195
deathIncrease_cluster7,3.466041830530419,13.943894786698532,-20.13630499893056,2.846224891115387,9.003605636647112,-4.507886981552069,4.0858587699454505,18.884183936749952,-35.76472301630905
deathIncrease_cluster8,1.7895009116132363,4.679286115934843,-2.0871035693832853,1.3522139232412154,2.635755916909347,0.13898640047627964,2.2267878999852573,6.72281631496034,-4.31319353924285
deathIncrease_cluster9,4.020780110028154,26.62608743122383,0.23059316210995195,3.173573954703552,18.550456069901795,0.2354387496246637,4.867986265352755,34.70171879254587,0.2257475745952402
hospitalizedIncrease_cluster1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
hospitalizedIncrease_cluster10,36.756312304880126,3453.039763609023,-0.2533255438284605,36.756312304880126,3453.039763609023,-0.2533255438284605,36.756312304880126,3453.039763609023,-0.2533255438284605
hospitalizedIncrease_cluster11,5.3029633194137045,29.41344994213401,-26.716520137780126,5.3029633194137045,29.41344994213401,-26.716520137780126,5.3029633194137045,29.41344994213401,-26.716520137780126
hospitalizedIncrease_cluster12,2.7266602642609,15.739661525396288,0.0,2.722016234680855,15.736586846439865,0.0,2.7313042938409446,15.742736204352711,0.0
hospitalizedIncrease_cluster13,0.38820564469282903,0.3487071298370369,0.0,0.38820564469282903,0.3487071298370369,0.0,0.38820564469282903,0.3487071298370369,0.0
hospitalizedIncrease_cluster14,255.11621021161264,157400.34432692514,-37.37302231328766,141.92138350732347,27786.8154554802,0.0305558475191664,368.3110369159018,287013.8731983701,-74.7766004740945
